Waktu;ROA;NPL;CASA;ATMR;LDR;BOPO;CAR;NIM
Jan-15;2,82;2,37;51,51;18,75;88,48;82,15;4,24;21,01
Feb-15;2,51;2,46;51,07;18,99;88,26;81,59;4,06;21,26
Mar-15;2,69;2,40;51,31;18,40;87,58;79,49;5,3;20,98
Apr-15;2,53;2,48;51,16;18,19;87,94;79,94;5,3;20,79
May-15;2,45;2,58;51,32;17,98;88,72;80,42;5,33;20,51
Jun-15;2,29;2,56;52,70;17,75;88,46;81,40;5,32;20,28
Jul-15;2,27;2,70;52,23;18,21;88,50;81,39;5,32;20,78
Aug-15;2,30;2,76;52,31;18,19;88,81;81,46;5,32;20,73
Sep-15;2,31;2,71;53,35;18,14;88,54;81,82;5,32;20,62
Oct-15;2,30;2,68;52,68;18,54;89,74;81,11;5,34;21,05
Nov-15;2,33;2,66;53,45;18,85;90,47;81,62;5,35;21,33
Dec-15;2,32;2,49;54,01;19,00;92,11;81,49;5,39;21,39
Jan-16;2,51;2,73;53,37;19,20;90,95;84,86;5,63;21,75
Feb-16;2,29;2,87;53,01;19,39;89,50;84,22;5,47;21,93
Mar-16;2,44;2,83;52,99;19,42;89,60;82,96;5,55;22
Apr-16;2,38;2,93;53,15;19,46;89,52;82,30;5,56;21,95
May-16;2,34;3,11;53,40;19,85;90,32;82,36;5,6;22,41
Jun-16;2,31;3,05;54,46;20,04;91,19;82,23;5,59;22,56
Jul-16;2,35;3,18;53,81;20,56;90,18;81,37;5,59;23,19
Aug-16;2,36;3,22;53,89;20,71;90,04;81,31;5,59;23,26
Sep-16;2,38;3,10;54,28;20,89;91,71;81,02;5,65;22,6
Oct-16;2,41;3,22;53,95;21,46;90,77;81,26;5,65;23,19
Nov-16;2,37;3,18;54,54;21,32;90,70;80,64;5,62;23,04
Dec-16;2,23;2,93;55,33;21,19;90,70;82,22;5,63;22,93
Jan-17;2,46;3,09;54,38;21,37;89,59;83,94;5,39;23,21
Feb-17;2,35;3,16;54,00;21,55;89,12;81,69;5,28;23,18
Mar-17;2,50;3,04;53,61;21,13;89,12;80,15;5,38;22,88
Apr-17;2,48;3,07;53,43;21,06;89,50;79,81;5,35;22,79
May-17;2,46;3,07;53,88;21,08;88,57;79,70;5,36;22,86
Jun-17;2,47;2,96;54,46;21,00;89,31;79,00;5,35;22,74
Jul-17;2,49;3,00;53,94;21,49;89,20;78,85;5,35;23,23
Aug-17;2,47;3,05;53,37;21,59;89,17;78,90;5,35;23,34
Sep-17;2,47;2,93;53,94;21,50;88,74;78,71;5,33;23,25
Oct-17;2,49;2,96;54,10;21,68;88,68;78,39;5,32;23,42
Nov-17;2,48;2,89;54,50;21,69;88,97;78,37;5,31;23,37
Dec-17;2,45;2,59;55,48;21,50;90,04;78,64;5,32;23,18
Jan-18;2,50;2,86;55,06;21,77;89,10;81,80;5,19;81,80
Feb-18;2,36;2,88;55,21;21,58;89,21;81,09;5,00;81,09
Mar-18;2,55;2,75;54,36;20,98;90,19;78,76;5,07;78,76
Apr-18;2,40;2,79;54,62;20,50;90,43;79,59;5,07;79,59
May-18;2,38;2,79;55,76;20,45;91,99;79,43;5,09;79,43
Jun-18;2,43;2,67;56,10;20,42;92,76;79,46;5,11;79,46
Jul-18;2,46;2,73;55,48;20,92;93,11;79,05;5,12;79,05
Aug-18;2,47;2,74;54,87;21,09;93,79;79,26;5,14;79,26
