JENIS_ALAT_TANGKAP;TAHUN;JUMLAH_TRIP_PENANGKAPAN;JUMLAH_NELAYAN;JUMLAH_KAPAL;PRODUKSI_PERIKANAN
  Rawai Tuna/Tuna Long line;2008;2237;2550;170;1416866.86
  Rawai Tuna/Tuna Long line;2009;1527;2660;188;901580
  Rawai Tuna/Tuna Long line;2010;1159;3430;245;1067610
  Rawai Tuna/Tuna Long line;2011;1679;4088;299;1514928.03
  Rawai Tuna/Tuna Long line;2012;830;3000;265;1693590
  Rawai Tuna/Tuna Long line;2013;253;2568;243;811400
  Rawai Tuna/Tuna Long line;2014;120;2744;198;328680
  Rawai Tuna/Tuna Long line;2015;154;2632;190;1206230
  Rawai Tuna/Tuna Long line;2016;287;2632;188;3178750
  Rawai Tuna/Tuna Long line;2017;529;2442;173;5000472.1
Jaring insang dasar – Bottom Gillnets;2008;110;156;12;208104
Jaring insang dasar – Bottom Gillnets;2009;88;204;17;185220
Jaring insang dasar – Bottom Gillnets;2010;2425;132;11;432920
Jaring insang dasar – Bottom Gillnets;2011;35;84;18;59745.5
Jaring insang dasar – Bottom Gillnets;2012;24;90;12;53960
Jaring insang dasar – Bottom Gillnets;2013;25;84;7;63290
Jaring insang dasar – Bottom Gillnets;2014;85;0;0;227810
Jaring insang dasar – Bottom Gillnets;2015;71;0;0;151030
Jaring insang dasar – Bottom Gillnets;2016;59;0;0;115990
Jaring insang dasar – Bottom Gillnets;2017;31;0;0;45033.5
Jaring insang hanyut – Drift Gillnets;2008;1382;2379;183;3735761.32
Jaring insang hanyut – Drift Gillnets;2009;1723;2616;213;3442640
Jaring insang hanyut – Drift Gillnets;2010;1748;1980;165;1329880
Jaring insang hanyut – Drift Gillnets;2011;1463;1584;205;3643849.17
Jaring insang hanyut – Drift Gillnets;2012;1611;1200;202;3704950
Jaring insang hanyut – Drift Gillnets;2013;2474;1620;230;2498920
Jaring insang hanyut – Drift Gillnets;2014;1385;1548;127;2175430
Jaring insang hanyut – Drift Gillnets;2015;840;1524;127;4749110
Jaring insang hanyut – Drift Gillnets;2016;553;1524;127;1473500
Jaring insang hanyut – Drift Gillnets;2017;659;1344;112;1987964.99
Jaring Klitik - Shrimp gillnet;2008;7358;116;33;84367.35
Jaring Klitik - Shrimp gillnet;2009;2915;158;35;25480
Jaring Klitik - Shrimp gillnet;2010;10083;34;25;90440
Jaring Klitik - Shrimp gillnet;2011;4553;120;32;242636.4
Jaring Klitik - Shrimp gillnet;2012;3088;96;35;296160
Jaring Klitik - Shrimp gillnet;2013;3848;12;12;363850
Jaring Klitik - Shrimp gillnet;2014;6686;32;8;410450
Jaring Klitik - Shrimp gillnet;2015;9722;32;8;1079240
Jaring Klitik - Shrimp gillnet;2016;9673;32;8;465430
