created_at,time,username,text,is_retweet,reply,retweet,favorite,source
25 Feb 2019,2:58 PM,@drpriono,We enter new era: building public health policy and health package design for UHC in Indonesia based on our data.  @KemenkesRI @BPJSKesehatanRI @jokowipic.twitter.com/DWRpVJi6KP,False,NA,1,2,/drpriono/status/1100168123188109312
25 Feb 2019,4:08 AM,@KemenkesRI,"3 (tiga) pengakuan dari lSQua yaitu Accreditation of Health and Social Care Standards, Accreditation of External Evaluation Organisations dan Accreditation of Surveyor Training Programmespic.twitter.com/EEqNWjdWcE",False,1,2,10,/KemenkesRI/status/1100004576420229120
24 Feb 2019,9:26 PM,@keynesfariz,Source from @9GAGpic.twitter.com/s5wFJlODXf,True,NA,NA,1,/keynesfariz/status/1099903375376707584
24 Feb 2019,4:37 PM,@dauskhanif,Avenged sevenfold playlist with full volume,True,NA,NA,NA,/dauskhanif/status/1099830739271438341
24 Feb 2019,4:20 PM,@nayahsnh,Magicstory,True,NA,NA,NA,/nayahsnh/status/1099826500130357254
24 Feb 2019,4:02 AM,@iqis_regina,Nice,True,NA,NA,1,/iqis_regina/status/1099640616403660800
23 Feb 2019,11:57 PM,@wahyu24588592,Gron,True,NA,NA,1,/wahyu24588592/status/1099578929004695552
23 Feb 2019,11:41 PM,@EndangK60812416,Good,True,NA,NA,1,/EndangK60812416/status/1099574999906541568
23 Feb 2019,8:32 PM,@Alfinf_,Mantapp,True,NA,1,2,/Alfinf_/status/1099527362763345920
23 Feb 2019,2:35 AM,@Interna_Bali,H-7! Bali Allergy Immunology Update 2019. @blogdokter @BaleBengong @UdayanaUniv @oppiet85 @depri_bali @fk @KemenkesRI @kolegiumipd @Ariatesta @wira_n @iMaiMacHaN @aryad_p @yubai. PIC @winadharmestipic.twitter.com/r8rvY60iUF – at Ruang Teater Widya Sabha Usadha Fakultas Kedokteran Universitas Udayana,False,NA,3,2,/Interna_Bali/status/1099256308857860096
22 Feb 2019,1:36 AM,@HafizYusaryahya,"I seriously considering some type of punishment for someone encouraging other people not to be vaccinated, especially if that someone is a public figure. I mean, seriously, it's a global threat. It doesn't have any rational bg whatsoever. 
#antivaxx #VaccinesWork
@KemenkesRI",False,NA,NA,1,/HafizYusaryahya/status/1098879098619719680
